character,frame,time_s,speed_m_s,distance_m,activated
Special Week,34,2.2644000000000006,18.42984278516931,35.332135952227965,
Special Week,35,2.331000000000001,18.4707856680722,36.5595382070987,
Special Week,36,2.397600000000001,18.51172855097509,37.77884873199069,
Special Week,37,2.4642000000000013,18.55267143387798,39.01171576054519,
Special Week,38,2.5308000000000015,18.59361431678087,40.236321749175126,
Special Week,39,2.5974000000000017,18.63455719968376,41.463399542349435,
Special Week,40,2.664000000000002,18.675500082586648,42.7044527442559,
Special Week,41,2.730600000000002,18.716442965489538,43.93708854409262,
Special Week,42,2.7972000000000024,18.757385848392428,45.18360364559422,
Special Week,43,2.8638000000000026,18.798328731295317,46.42152319440639,
Special Week,44,2.930400000000003,18.839271614198207,47.66157710854497,
Special Week,45,2.997000000000003,18.880214497101097,48.91627259805057,
Special Week,46,3.063600000000003,18.921157380003987,50.162087462607104,
Special Week,47,3.1302000000000034,18.962100262906876,51.4102616730171,
Special Week,48,3.1968000000000036,19.003043145809766,52.6731375505267,
Special Week,49,3.263400000000004,19.043986028712656,53.92649322711685,
Special Week,50,3.330000000000004,19.084928911615545,55.19482269662911,
Special Week,51,3.3966000000000043,19.125871794518435,56.45396501044372,
Special Week,52,3.4632000000000045,19.166814677421325,57.71499981703581,
Special Week,53,3.5298000000000047,19.207757560324215,58.99150967455207,
Special Week,54,3.596400000000005,19.248700443227104,60.25825171459869,
Special Week,55,3.663000000000005,19.289643326129994,61.52749298992332,
Special Week,56,3.7296000000000054,19.330586209032884,62.81218323544358,
Special Week,57,3.7962000000000056,19.371529091935773,64.08677396138111,
Special Week,58,3.862800000000006,19.412471974838663,65.36358091926655,
Special Week,59,3.929400000000006,19.453414857741553,66.65645155279081,
Special Week,60,3.996000000000006,19.494357740644443,67.93902324725526,
Special Week,61,4.062600000000006,19.535300623547332,69.23734747278219,
Special Week,62,4.129200000000006,19.576243506450222,70.52498462271109,
Special Week,63,4.195800000000006,19.61718638935311,71.8150778714417,
Special Week,64,4.262400000000007,19.658129272256,73.12158248497262,
Special Week,65,4.329000000000007,19.69907215515889,74.41685076753755,
Special Week,66,4.395600000000007,19.74001503806178,75.71464750459852,
Special Week,67,4.462200000000007,19.78095792096467,77.02933250613343,
Special Week,68,4.5288000000000075,19.82190080386756,78.33245698976921,
Special Week,69,4.595400000000008,19.86284368677045,79.63773540241269,
Special Week,70,4.662000000000008,19.90378656967334,80.9606007919516,
Special Week,71,4.728600000000008,19.94472945257623,82.27127253710145,
Special Week,72,4.795200000000008,19.98567233547912,83.58442581939612,
Special Week,73,4.861800000000009,20.0,84.91547159693903,
Special Week,74,4.928400000000009,20.0,86.23214784393305,
Special Week,75,4.995000000000009,20.0,87.54829938030807,
Special Week,76,5.061600000000009,20.0,88.88029938030806,
Special Week,77,5.128200000000009,20.0,90.1963506525162,
Special Week,78,5.19480000000001,20.0,91.51217590812539,
Special Week,79,5.26140000000001,20.0,92.84417590812538,
Special Week,80,5.32800000000001,20.0,94.15974554164806,
Special Week,81,5.39460000000001,20.0,95.47500611858275,
Special Week,82,5.4612000000000105,20.0,96.80700050983613,
Special Week,83,5.527800000000011,20.0,98.12202288244767,
Special Week,84,5.594400000000011,20.0,99.4362776328909,
Special Week,85,5.661000000000011,20.0,100.76827665499299,
Special Week,86,5.727600000000011,20.0,102.08256643170847,
Special Week,87,5.794200000000012,20.0,103.39628000144988,
Special Week,88,5.860800000000012,20.0,104.72828000144987,
Special Week,89,5.927400000000012,20.0,106.04163793028428,
Special Week,90,5.994000000000012,20.0,107.35457101800317,
Special Week,91,6.060600000000012,20.0,108.68657101800316,
Special Week,92,6.127200000000013,20.0,109.99944369051663,
Special Week,93,6.193800000000013,20.0,111.33144369051662,
Special Week,94,6.260400000000013,20.0,112.6439412222869,
Special Week,95,6.327000000000013,20.0,113.95561450982656,
Special Week,96,6.3936000000000135,20.0,115.28761450982655,
Special Week,97,6.460200000000014,20.0,116.59936379405038,
Special Week,98,6.526800000000014,20.0,117.91049050945107,
Special Week,99,6.593400000000014,20.0,119.24249050945106,
Special Week,100,6.660000000000014,20.0,120.55366449643184,
Special Week,101,6.726600000000015,20.0,121.86397471254122,
Special Week,102,6.793200000000015,20.0,123.19597471254122,
Special Week,103,6.859800000000015,20.0,124.5060835869353,
Special Week,104,6.926400000000015,20.0,125.81499900046171,
Special Week,105,6.993000000000015,20.0,127.1469990004617,
